source,time,region,region_code,lat,lon,temp,temp_feels,hum,pressure,wind_speed,wind_dir,weather_code,processed_at,quality_flag,weather_label
open-meteo,2026-05-08 09:25:55.664696+00:00,Dakar,DK,14.6928,-17.4467,22.6,22.3,73.0,1011.3,20.7,359,2,2026-05-08T09:26:02.303642+00:00,OK,
openweathermap,2026-05-08 09:25:56.519440+00:00,Dakar,DK,14.6928,-17.4467,22.93,23.45,83.0,1012.0,6.17,320,800,2026-05-08T09:26:02.428127+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:26:00.615983+00:00,Thiès,TH,14.7886,-16.9255,23.6,23.6,64.0,1003.6,15.5,347,3,2026-05-08T09:26:02.470005+00:00,OK,
openweathermap,2026-05-08 09:26:00.894091+00:00,Thiès,TH,14.7886,-16.9255,23.08,22.75,50.0,1012.0,6.53,360,802,2026-05-08T09:26:02.359657+00:00,OK,partiellement nuageux
open-meteo,2026-05-08 09:26:02.774447+00:00,Diourbel,DB,14.6554,-16.2322,24.6,24.3,53.0,1010.6,11.3,347,0,2026-05-08T09:26:03.715229+00:00,OK,
openweathermap,2026-05-08 09:26:03.537961+00:00,Diourbel,DB,14.6554,-16.2322,24.09,24.12,60.0,1011.0,9.26,360,800,2026-05-08T09:26:03.762633+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:26:05.583478+00:00,Fatick,FK,14.339,-16.4114,24.5,24.7,54.0,1011.4,9.8,354,0,2026-05-08T09:26:05.996727+00:00,OK,
openweathermap,2026-05-08 09:26:05.886053+00:00,Fatick,FK,14.339,-16.4114,25.42,25.11,42.0,1012.0,5.54,343,800,2026-05-08T09:26:06.046915+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:26:07.793424+00:00,Kaolack,KL,14.1652,-16.0726,25.5,25.3,48.0,1011.0,9.0,347,1,2026-05-08T09:26:09.167900+00:00,OK,
openweathermap,2026-05-08 09:26:08.804034+00:00,Kaolack,KL,14.1652,-16.0726,24.97,24.91,53.0,1012.0,5.14,360,800,2026-05-08T09:26:09.023156+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:26:11.647032+00:00,Kaffrine,KF,14.1059,-15.5503,26.6,26.3,41.0,1010.3,7.2,347,3,2026-05-08T09:26:12.291005+00:00,OK,
openweathermap,2026-05-08 09:26:11.976588+00:00,Kaffrine,KF,14.1059,-15.5503,26.75,26.38,33.0,1012.0,2.25,355,800,2026-05-08T09:26:12.163504+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:26:14.076728+00:00,Tambacounda,TC,13.7707,-13.6673,31.8,30.5,29.0,1007.0,11.3,297,3,2026-05-08T09:26:14.667985+00:00,OK,
openweathermap,2026-05-08 09:26:14.548082+00:00,Tambacounda,TC,13.7707,-13.6673,29.12,30.93,58.0,1011.0,4.12,240,800,2026-05-08T09:26:14.711432+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:26:16.729796+00:00,Kédougou,KD,12.5559,-12.1747,30.8,29.1,38.0,996.9,22.2,265,3,2026-05-08T09:26:17.160002+00:00,OK,
openweathermap,2026-05-08 09:26:17.020584+00:00,Kédougou,KD,12.5559,-12.1747,30.31,30.73,45.0,1011.0,3.09,240,800,2026-05-08T09:26:17.125523+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:26:18.910551+00:00,Kolda,KO,12.8989,-14.9413,28.6,29.1,41.0,1008.3,5.4,304,1,2026-05-08T09:26:19.629025+00:00,OK,
openweathermap,2026-05-08 09:26:19.506262+00:00,Kolda,KO,12.8989,-14.9413,27.05,28.86,69.0,1012.0,2.06,220,800,2026-05-08T09:26:19.688770+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:26:21.676582+00:00,Sédhiou,SD,12.708,-15.5569,27.8,28.0,42.0,1009.3,6.2,324,0,2026-05-08T09:26:22.136248+00:00,OK,
openweathermap,2026-05-08 09:26:21.950252+00:00,Sédhiou,SD,12.708,-15.5569,29.49,28.29,30.0,1012.0,1.12,350,803,2026-05-08T09:26:22.222223+00:00,OK,nuageux
open-meteo,2026-05-08 09:26:23.883159+00:00,Ziguinchor,ZG,12.5681,-16.2719,26.3,27.7,54.0,1010.1,5.5,322,0,2026-05-08T09:26:24.747298+00:00,OK,
openweathermap,2026-05-08 09:26:24.664730+00:00,Ziguinchor,ZG,12.5681,-16.2719,26.03,26.03,69.0,1012.0,1.03,340,800,2026-05-08T09:26:24.999118+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:26:26.585442+00:00,Saint-Louis,SL,16.0179,-16.4896,23.1,22.5,65.0,1011.1,18.8,345,3,2026-05-08T09:26:26.964721+00:00,OK,
openweathermap,2026-05-08 09:26:26.862919+00:00,Saint-Louis,SL,16.0179,-16.4896,23.99,24.25,69.0,1012.0,4.12,360,800,2026-05-08T09:26:27.191820+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:26:28.770793+00:00,Louga,LG,15.6179,-16.2241,24.0,23.7,56.0,1007.0,12.6,343,3,2026-05-08T09:26:29.764632+00:00,OK,
openweathermap,2026-05-08 09:26:29.575119+00:00,Louga,LG,15.6179,-16.2241,24.45,24.13,45.0,1012.0,6.76,346,800,2026-05-08T09:26:29.842825+00:00,OK,ciel dégagé
open-meteo,2026-05-08 09:26:31.616606+00:00,Matam,MT,15.6559,-13.2557,32.7,30.1,24.0,1007.5,16.1,340,3,2026-05-08T09:26:32.012242+00:00,OK,
openweathermap,2026-05-08 09:26:31.892452+00:00,Matam,MT,15.6559,-13.2557,30.03,29.96,42.0,1010.0,2.06,340,800,2026-05-08T09:26:32.089916+00:00,OK,ciel dégagé
